Rank,Title,Year,Rating,Director,Actors,Number of User Ratings
91,The Flintstones in Viva Rock Vegas,2000,3.9,Brian Levant,"Mark Addy, Stephen Baldwin",23536
92,The Avengers,1998,4.0,Jeremiah S. Chechik,"Ralph Fiennes, Uma Thurman",43704
93,Baaghi 3,2020,4.0,Ahmed Khan,"Tiger Shroff, Riteish Deshmukh",12256
94,The Hungover Games,2014,4.0,Josh Stolberg,"Ross Nathan, Sam Pancake",15410
95,Street Fighter: The Legend of Chun-Li,2009,4.0,Andrzej Bartkowiak,"Kristin Kreuk, Neal McDonough",23933
96,Speed 2: Cruise Control,1997,4.0,Jan de Bont,"Sandra Bullock, Jason Patric",80633
97,Stan Helsing,2009,4.0,Bo Zenga,"Steve Howey, Diora Baird",13620
98,The Human Centipede II (Full Sequence),2011,4.0,Tom Six,"Laurence R. Harvey, Ashlynn Yennie",38486
99,Ballistic: Ecks vs. Sever,2002,4.0,Wych Kaosayananda,"Antonio Banderas, Lucy Liu",20025
100,Teen Wolf Too,1987,4.0,Christopher Leitch,"Jason Bateman, Kim Darby",12710
