Rank,Title,Year,Rating,Director,Actors,Number of User Ratings
66,Aliens,1986,8.3,James Cameron,"Sigourney Weaver, Michael Biehn",700655
67,American Beauty,1999,8.3,Sam Mendes,"Kevin Spacey, Annette Bening",1133200
68,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.3,Stanley Kubrick,"Peter Sellers, George C. Scott",481048
69,The Dark Knight Rises,2012,8.3,Christopher Nolan,"Christian Bale, Tom Hardy",1655994
70,Spider-Man: Into the Spider-Verse,2018,8.3,Bob Persichetti,"Shameik Moore, Jake Johnson",492650
71,Joker,2019,8.3,Todd Phillips,"Joaquin Phoenix, Robert De Niro",1196619
72,Oldboy,2003,8.3,Park Chan-wook,"Choi Min-sik, Yoo Ji-Tae",562999
73,Braveheart,1995,8.3,Mel Gibson,"Mel Gibson, Sophie Marceau",1018279
74,Amadeus,1984,8.3,Milos Forman,"F. Murray Abraham, Tom Hulce",394083
75,Toy Story,1995,8.3,John Lasseter,"Tom Hanks, Tim Allen",965445
76,Coco,2017,8.3,Lee Unkrich,"Anthony Gonzalez, Gael García Bernal",478977
77,Das Boot,1981,8.3,Wolfgang Petersen,"Jürgen Prochnow, Herbert Grönemeyer",247392
78,Inglourious Basterds,2009,8.3,Quentin Tarantino,"Brad Pitt, Diane Kruger",1397384
79,Princess Mononoke,1997,8.3,Hayao Miyazaki,"Yôji Matsuda, Yuriko Ishida",382935
80,Once Upon a Time in America,1984,8.3,Sergio Leone,"Robert De Niro, James Woods",343633
81,Avengers: Endgame,2019,8.3,Anthony Russo,"Robert Downey Jr., Chris Evans",1057164
82,Good Will Hunting,1997,8.3,Gus Van Sant,"Robin Williams, Matt Damon",939393
83,Requiem for a Dream,2000,8.3,Darren Aronofsky,"Ellen Burstyn, Jared Leto",822377
84,Toy Story 3,2010,8.3,Lee Unkrich,"Tom Hanks, Tim Allen",815111
85,Singin' in the Rain,1952,8.3,Stanley Donen,"Gene Kelly, Donald O'Connor",237650
86,Your Name.,2016,8.3,Makoto Shinkai,"Ryûnosuke Kamiki, Mone Kamishiraishi",251760
87,Everything Everywhere All at Once,2022,8.3,Dan Kwan,"Michelle Yeoh, Stephanie Hsu",85219
88,3 Idiots,2009,8.3,Rajkumar Hirani,"Aamir Khan, Madhavan",386949
89,Star Wars: Return of the Jedi,1983,8.3,Richard Marquand,"Mark Hamill, Harrison Ford",1023945
90,2001: A Space Odyssey,1968,8.3,Stanley Kubrick,"Keir Dullea, Gary Lockwood",652814
91,Reservoir Dogs,1992,8.3,Quentin Tarantino,"Harvey Keitel, Tim Roth",992064
92,Eternal Sunshine of the Spotless Mind,2004,8.3,Michel Gondry,"Jim Carrey, Kate Winslet",982798
93,High and Low,1963,8.3,Akira Kurosawa,"Toshirô Mifune, Yutaka Sada",42985
94,Capernaum,2018,8.3,Nadine Labaki,"Zain Al Rafeea, Yordanos Shiferaw",85072
95,Citizen Kane,1941,8.3,Orson Welles,"Orson Welles, Joseph Cotten",434932
96,Lawrence of Arabia,1962,8.3,David Lean,"Peter O'Toole, Alec Guinness",288499
97,The Hunt,2012,8.3,Thomas Vinterberg,"Mads Mikkelsen, Thomas Bo Larsen",320384
98,M,1931,8.3,Fritz Lang,"Peter Lorre, Ellen Widmann",155493
99,North by Northwest,1959,8.3,Alfred Hitchcock,"Cary Grant, Eva Marie Saint",322088
100,Vertigo,1958,8.2,Alfred Hitchcock,"James Stewart, Kim Novak",394957
101,Amélie,2001,8.2,Jean-Pierre Jeunet,"Audrey Tautou, Mathieu Kassovitz",744321
102,A Clockwork Orange,1971,8.2,Stanley Kubrick,"Malcolm McDowell, Patrick Magee",811189
103,Come and See,1985,8.2,Elem Klimov,"Aleksey Kravchenko, Olga Mironova",75314
104,Full Metal Jacket,1987,8.2,Stanley Kubrick,"Matthew Modine, R. Lee Ermey",725504
105,Double Indemnity,1944,8.2,Billy Wilder,"Fred MacMurray, Barbara Stanwyck",154513
106,The Apartment,1960,8.2,Billy Wilder,"Jack Lemmon, Shirley MacLaine",178480
107,Scarface,1983,8.2,Brian De Palma,"Al Pacino, Michelle Pfeiffer",812681
108,Ikiru,1952,8.2,Akira Kurosawa,"Takashi Shimura, Nobuo Kaneko",76905
109,To Kill a Mockingbird,1962,8.2,Robert Mulligan,"Gregory Peck, John Megna",312165
110,The Sting,1973,8.2,George Roy Hill,"Paul Newman, Robert Redford",257904
111,Taxi Driver,1976,8.2,Martin Scorsese,"Robert De Niro, Jodie Foster",798908
112,L.A. Confidential,1997,8.2,Curtis Hanson,"Kevin Spacey, Russell Crowe",572527
113,Spider-Man: No Way Home,2021,8.2,Jon Watts,"Tom Holland, Zendaya",642462
114,Up,2009,8.2,Pete Docter,"Edward Asner, Jordan Nagai",1015778
115,Hamilton,2020,8.2,Thomas Kail,"Lin-Manuel Miranda, Phillipa Soo",87720
116,Heat,1995,8.2,Michael Mann,"Al Pacino, Robert De Niro",635247
117,Metropolis,1927,8.2,Fritz Lang,"Brigitte Helm, Alfred Abel",171784
118,Snatch,2000,8.2,Guy Ritchie,"Jason Statham, Brad Pitt",837882
119,A Separation,2011,8.2,Asghar Farhadi,"Payman Maadi, Leila Hatami",241682
120,Die Hard,1988,8.2,John McTiernan,"Bruce Willis, Alan Rickman",858427
121,Incendies,2010,8.2,Denis Villeneuve,"Lubna Azabal, Mélissa Désormeaux-Poulin",172529
122,Indiana Jones and the Last Crusade,1989,8.2,Steven Spielberg,"Harrison Ford, Sean Connery",739273
123,Bicycle Thieves,1948,8.2,Vittorio De Sica,"Lamberto Maggiorani, Enzo Staiola",160991
124,1917,2019,8.2,Sam Mendes,"Dean-Charles Chapman, George MacKay",552352
125,Like Stars on Earth,2007,8.2,Aamir Khan,"Darsheel Safary, Aamir Khan",188923
126,Downfall,2004,8.2,Oliver Hirschbiegel,"Bruno Ganz, Alexandra Maria Lara",350691
127,For a Few Dollars More,1965,8.2,Sergio Leone,"Clint Eastwood, Lee Van Cleef",251885
128,Batman Begins,2005,8.2,Christopher Nolan,"Christian Bale, Michael Caine",1429851
129,Dangal,2016,8.2,Nitesh Tiwari,"Aamir Khan, Sakshi Tanwar",183414
130,The Kid,1921,8.2,Charles Chaplin,"Charles Chaplin, Edna Purviance",124725
131,Some Like It Hot,1959,8.2,Billy Wilder,"Marilyn Monroe, Tony Curtis",262607
132,The Father,2020,8.2,Florian Zeller,"Anthony Hopkins, Olivia Colman",136703
133,All About Eve,1950,8.2,Joseph L. Mankiewicz,"Bette Davis, Anne Baxter",129779
134,Green Book,2018,8.2,Peter Farrelly,"Viggo Mortensen, Mahershala Ali",465737
135,The Wolf of Wall Street,2013,8.2,Martin Scorsese,"Leonardo DiCaprio, Jonah Hill",1344748
136,Judgment at Nuremberg,1961,8.2,Stanley Kramer,"Spencer Tracy, Burt Lancaster",76444
137,Unforgiven,1992,8.2,Clint Eastwood,"Clint Eastwood, Gene Hackman",404683
138,Pan's Labyrinth,2006,8.2,Guillermo del Toro,"Ivana Baquero, Ariadna Gil",657207
139,Casino,1995,8.2,Martin Scorsese,"Robert De Niro, Sharon Stone",506974
140,Ran,1985,8.2,Akira Kurosawa,"Tatsuya Nakadai, Akira Terao",123547
141,There Will Be Blood,2007,8.2,Paul Thomas Anderson,"Daniel Day-Lewis, Paul Dano",570907
142,The Sixth Sense,1999,8.2,M. Night Shyamalan,"Bruce Willis, Haley Joel Osment",970435
143,A Beautiful Mind,2001,8.2,Ron Howard,"Russell Crowe, Ed Harris",912234
144,Monty Python and the Holy Grail,1975,8.2,Terry Gilliam,"Graham Chapman, John Cleese",532257
145,The Truman Show,1998,8.2,Peter Weir,"Jim Carrey, Ed Harris",1039492
146,Yojimbo,1961,8.1,Akira Kurosawa,"Toshirô Mifune, Eijirô Tôno",121081
