Rank,Title,Year,Rating,Director,Actors,Number of User Ratings
66,Inglourious Basterds,2009,8.3,Quentin Tarantino,"Brad Pitt, Diane Kruger",1397384
67,Hamilton,2020,8.3,Thomas Kail,"Lin-Manuel Miranda, Phillipa Soo",87720
68,Singin' in the Rain,1952,8.3,Stanley Donen,"Gene Kelly, Donald O'Connor",237650
69,Good Will Hunting,1997,8.3,Gus Van Sant,"Robin Williams, Matt Damon",939393
70,Requiem for a Dream,2000,8.3,Darren Aronofsky,"Ellen Burstyn, Jared Leto",822377
71,Toy Story 3,2010,8.3,Lee Unkrich,"Tom Hanks, Tim Allen",815111
72,Star Wars: Return of the Jedi,1983,8.3,Richard Marquand,"Mark Hamill, Harrison Ford",1023945
73,Lawrence of Arabia,1962,8.3,David Lean,"Peter O'Toole, Alec Guinness",288499
74,2001: A Space Odyssey,1968,8.3,Stanley Kubrick,"Keir Dullea, Gary Lockwood",652814
75,Eternal Sunshine of the Spotless Mind,2004,8.3,Michel Gondry,"Jim Carrey, Kate Winslet",982798
76,Citizen Kane,1941,8.3,Orson Welles,"Orson Welles, Joseph Cotten",434932
77,Reservoir Dogs,1992,8.3,Quentin Tarantino,"Harvey Keitel, Tim Roth",992064
78,North by Northwest,1959,8.3,Alfred Hitchcock,"Cary Grant, Eva Marie Saint",322088
79,Double Indemnity,1944,8.3,Billy Wilder,"Fred MacMurray, Barbara Stanwyck",154513
80,Spider-Man: No Way Home,2021,8.3,Jon Watts,"Tom Holland, Zendaya",642462
81,The Apartment,1960,8.3,Billy Wilder,"Jack Lemmon, Shirley MacLaine",178480
82,Vertigo,1958,8.3,Alfred Hitchcock,"James Stewart, Kim Novak",394957
83,A Clockwork Orange,1971,8.3,Stanley Kubrick,"Malcolm McDowell, Patrick Magee",811189
84,The Sting,1973,8.3,George Roy Hill,"Paul Newman, Robert Redford",257904
85,To Kill a Mockingbird,1962,8.3,Robert Mulligan,"Gregory Peck, John Megna",312165
86,Scarface,1983,8.3,Brian De Palma,"Al Pacino, Michelle Pfeiffer",812681
87,Full Metal Jacket,1987,8.3,Stanley Kubrick,"Matthew Modine, R. Lee Ermey",725504
88,The Kid,1921,8.2,Charles Chaplin,"Charles Chaplin, Edna Purviance",124725
89,Judgment at Nuremberg,1961,8.2,Stanley Kramer,"Spencer Tracy, Burt Lancaster",76444
90,Heat,1995,8.2,Michael Mann,"Al Pacino, Robert De Niro",635247
91,Taxi Driver,1976,8.2,Martin Scorsese,"Robert De Niro, Jodie Foster",798908
92,L.A. Confidential,1997,8.2,Curtis Hanson,"Kevin Spacey, Russell Crowe",572527
93,Up,2009,8.2,Pete Docter,"Edward Asner, Jordan Nagai",1015778
94,Snatch,2000,8.2,Guy Ritchie,"Jason Statham, Brad Pitt",837882
95,Die Hard,1988,8.2,John McTiernan,"Bruce Willis, Alan Rickman",858427
96,1917,2019,8.2,Sam Mendes,"Dean-Charles Chapman, George MacKay",552352
97,Indiana Jones and the Last Crusade,1989,8.2,Steven Spielberg,"Harrison Ford, Sean Connery",739273
98,The Father,2020,8.2,Florian Zeller,"Anthony Hopkins, Olivia Colman",136703
99,All About Eve,1950,8.2,Joseph L. Mankiewicz,"Bette Davis, Anne Baxter",129779
100,Some Like It Hot,1959,8.2,Billy Wilder,"Marilyn Monroe, Tony Curtis",262607
101,Batman Begins,2005,8.2,Christopher Nolan,"Christian Bale, Michael Caine",1429851
102,Green Book,2018,8.2,Peter Farrelly,"Viggo Mortensen, Mahershala Ali",465737
103,The Treasure of the Sierra Madre,1948,8.2,John Huston,"Humphrey Bogart, Walter Huston",123318
104,The Wolf of Wall Street,2013,8.2,Martin Scorsese,"Leonardo DiCaprio, Jonah Hill",1344748
105,Unforgiven,1992,8.2,Clint Eastwood,"Clint Eastwood, Gene Hackman",404683
106,Casino,1995,8.2,Martin Scorsese,"Robert De Niro, Sharon Stone",506974
107,Monty Python and the Holy Grail,1975,8.2,Terry Gilliam,"Graham Chapman, John Cleese",532257
108,A Beautiful Mind,2001,8.2,Ron Howard,"Russell Crowe, Ed Harris",912234
109,The Great Escape,1963,8.2,John Sturges,"Steve McQueen, James Garner",241082
110,There Will Be Blood,2007,8.2,Paul Thomas Anderson,"Daniel Day-Lewis, Paul Dano",570907
